track_id,danceability,energy,key_,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id,name,artist,album,duration_ms,popularity,explicit,url,track_id,user_id,rating,date
01KurZH1ejoarO8tp3wXGo,0.495,0.731,5,-8.32,1,0.0276,0.00512,0.0471,0.0979,0.384,125.568,NULL,4,01KurZH1ejoarO8tp3wXGo,"Auf Achse","Franz Ferdinand","Franz Ferdinand",259773,44,0,https://open.spotify.com/track/01KurZH1ejoarO8tp3wXGo,01KurZH1ejoarO8tp3wXGo,31uqhjwtpiiaay5ripzqwrdjw7ga,2,"2024-03-12 20:27:08"
01tykAEjuZsAX5I1y0FLf8,0.382,0.855,9,-8.068,1,0.038,0.000147,0.745,0.106,0.55,136.138,NULL,4,01tykAEjuZsAX5I1y0FLf8,"Construction of Souls",Avatar,"Construction of Souls",292735,40,0,https://open.spotify.com/track/01tykAEjuZsAX5I1y0FLf8,01tykAEjuZsAX5I1y0FLf8,31sk54n54vp7yoro5vkuuhi66gx4,5,"2024-03-12 20:27:08"
02tKPhHyLttuqmBEUTlmw2,0.237,0.783,0,-6.806,1,0.0284,0.00217,0.569,0.489,0.565,170.768,NULL,3,02tKPhHyLttuqmBEUTlmw2,"Attic Doctor","Youth Lagoon","Wondrous Bughouse",232266,22,0,https://open.spotify.com/track/02tKPhHyLttuqmBEUTlmw2,02tKPhHyLttuqmBEUTlmw2,31uqhjwtpiiaay5ripzqwrdjw7ga,6,"2024-03-12 20:27:08"
03GBiorLGTk7T4IScIl4jj,0.703,0.443,0,-9.601,0,0.0862,0.0499,0,0.338,0.367,136.647,NULL,4,03GBiorLGTk7T4IScIl4jj,Ex-Wives,SIX,"Six: The Musical (Studio Cast Recording)",350218,67,0,https://open.spotify.com/track/03GBiorLGTk7T4IScIl4jj,03GBiorLGTk7T4IScIl4jj,yanniquevanmegen,10,"2024-03-12 20:27:08"
03HZaJepBONLxbgWTsV7AK,0.479,0.187,8,-15.742,1,0.0343,0.907,0.871,0.138,0.156,119.415,NULL,4,03HZaJepBONLxbgWTsV7AK,"Easy Living","The Bob Davis Group","Easy Living",203500,45,0,https://open.spotify.com/track/03HZaJepBONLxbgWTsV7AK,03HZaJepBONLxbgWTsV7AK,1166187914,6,"2024-03-12 20:27:08"
03s0gEeySKKKYctNadlhHg,0.538,0.883,11,-5.715,1,0.0907,0.00355,0.891,0.0758,0.656,126.74,NULL,4,03s0gEeySKKKYctNadlhHg,"Proper Lo-Fi",Clark,"Clarence Park",193680,18,0,https://open.spotify.com/track/03s0gEeySKKKYctNadlhHg,03s0gEeySKKKYctNadlhHg,mixe9z16uy1hig6t9cv5e7eam,8,"2024-03-12 20:27:08"
045ZeOHPIzhxxsm8bq5kyE,0.547,0.885,0,-5.961,1,0.0418,0.000512,0.0000937,0.39,0.192,91.992,NULL,4,045ZeOHPIzhxxsm8bq5kyE,"Out Of The Woods (Taylor's Version)","Taylor Swift","1989 (Taylor's Version)",235800,80,0,https://open.spotify.com/track/045ZeOHPIzhxxsm8bq5kyE,045ZeOHPIzhxxsm8bq5kyE,31t5phppukummusprveou63zmvmi,8,"2024-03-12 20:27:08"
05RgAMGypEvqhNs5hPCbMS,0.526,0.978,8,-5.436,1,0.108,0.00122,0.0000475,0.0744,0.451,141.167,NULL,4,05RgAMGypEvqhNs5hPCbMS,"Panama - 2015 Remaster","Van Halen","1984 (Remastered)",210226,76,0,https://open.spotify.com/track/05RgAMGypEvqhNs5hPCbMS,05RgAMGypEvqhNs5hPCbMS,1166187914,6,"2024-03-12 20:27:08"
07GvNcU1WdyZJq3XxP0kZa,0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,NULL,4,07GvNcU1WdyZJq3XxP0kZa,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",Rumours,223613,81,0,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa,07GvNcU1WdyZJq3XxP0kZa,1166187914,8,"2024-03-12 22:04:59"
08mG3Y1vljYA6bvDt4Wqkj,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,NULL,4,08mG3Y1vljYA6bvDt4Wqkj,"Back In Black",AC/DC,"Back In Black",255493,85,0,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,08mG3Y1vljYA6bvDt4Wqkj,1166187914,6,"2024-03-12 20:27:08"
